"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
23;"D220,D195,D151,D136,D62,D139,D327,D354,D187,D116,D270,D90,D278,D216,D360,D302,D335,D237,D196,D221,D155,D248,D134,D96,D241,D337,D356,D184,D250,D83,D249,D160,D343,D65,D300,D222,D111,D73,D137,D131,D194,D63,D214,D266,D34,D188,D176,D23,D314,D32,D76,D323,D297,D140,D342,D227,D199,D277,D44,D170,D101,D304,D16,D344,D371,D110,D28,D99,D267,D201,D336,D142,D94,D89,D158,D374,D95,D261,D373,D181,D235,D319,D29,D75,D172,D27,D149,D351,D105,D292,D284,D115,D215,D168,D38,D21,D180,D291,D148,D60,D295,D133,D272,D359,D331,D333,D264,D113,D15,D209,D294,D54,D22,D338,D19,D226,D253,D350,D276,D4,D303,D283,D254,D147,D178,D88,D42,D146,D77,D238,D177,D24,D210,D37,D347,D185,D206,D52,D205,D12,D200,D74,D128,D8,D317,D330,D118,D121,D308,D159,D78,D174,D166,D244,D243,D107,D258,D290,D255,D189,D232,D271,D299,D287,D191,D229,D7,D157,D3,D320,D119,D117,D309,D156,D144,D64,D198,D349,D30,D98,D103,D14,D169,D225,D129,D97,D274,D345,D26,D262,D43,D17,D282,D332,D239,D339,D51,D56,D286,D357,D81,D318,D35,D132,D92,D288,D164,D91,D301,D247,D234,D109,D310,D251,D71,D69,D355,D1,D313,D231,D285,D41,D13,D45,D85,D122,D366,D375,D289,D57,D363,D165,D138,D182,D242,D114,D127,D211,D358,D275,D86,D50,D369,D322,D281,D326,D279,D82,D240,D203,D273,D143,D183,D246,D269,D245,D197,D33,D20,D102,D135,D161,D36,D70,D293,D311,D163,D153,D130,D223,D361,D352,D305,D296,D256,D329,D66,D112,D218,D171,D325,D346,D306,D204,D48,D280,D167,D340,D192,D141,D106,D39,D224,D252,D213,D68,D40,D190,D120,D328,D72,D61,D372,D150,D5,D257,D260,D233,D179,D217,D145,D87,D362,D202,D315,D84,D324,D368,D268,D59,D49,D80,D370,D2,D126,D162,D334,D207,D230,D67,D154,D348,D265,D367,D365,D364,D108,D125,D228,D186,D312,D25,D208,D11,D307,D58,D152,D259,D9,D219,D175,D316,D193,D263,D10,D47,D341,D353,D55,D18,D79,D53,D6,D31,D124,D46,D298,D236,D321,D173,D104,D100,D212,D123,D93";"SK9822_2020";375;"SK9822";;;
24;"D382,D385,D377,D378";"LED_0603_1608Metric";4;"GREEN";;;
25;"U2";"MSOP-10_3x3mm_P0.5mm";1;"CH340E";;;
26;"D384";"D_SOD-323";1;"D_Schottky_Small";;;
27;"U6";"MIC261201";1;"MIC261201";;;
28;"Q1,Q2";"SOT-23";2;"FDN335N";;;
29;"D380,D383,D381";"D_SOD-128";3;"D_Schottky_Small";;;
30;"C413,C414,C415,C400,C399";"C_1210_3225Metric";5;"33u";;;
31;"D376";"LED_0603_1608Metric";1;"BLUE";;;
32;"D379";"LED_0603_1608Metric";1;"RED";;;
33;"J2";"USB_C_Receptacle_XKB_U262-16XN-4BVC11";1;"USB_C_Receptacle";;;
34;"U7";"SOIC-8_3.9x4.9mm_P1.27mm";1;"TMCS1107A2BQDRQ1";;;
35;"U3";"VSSOP-8_2.4x2.1mm_P0.5mm";1;"TXB0102DCU";;;
36;"J3";"TerminalBlock_TE_282834-2_1x02_P2.54mm_Horizontal";1;"Screw_Terminal_01x02";;;
37;"C381,C377,C383,C379";"C_0603_1608Metric";4;"1u";;;
38;"L1";"L_Vishay_IHLP-2525";1;"6.8u";;;
39;"U5";"SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias";1;"TPS54331";;;
40;"J1";"PinSocket_2x05_P1.27mm_Vertical_SMD";1;"Conn_ST_STDC14";;;
41;"U4";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
42;"L2";"L_Vishay_IHLP-4040";1;"1u";;;
