"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
21;"U11,U12";"DFN_16_5X4_EP";2;"LTC4376HDHD";;;
22;"D727,D726,D731";"DO220AA";3;"SS1P3L";;;
23;"CN2";"SM06B_SRSS_TB";1;"SM06B_SRSS_TB";;;
24;"R19,R20,R38";"R_0402";3;"4K7";;;
25;"R37";"R_0402";1;"22K";;;
26;"H2,H1,H3,H4";"MountingHole_2mm";4;"MountingHole";;;
27;"R32";"R_0402";1;"470R";;;
28;"C136,C130,C133";"C_0603";3;"1uF";;;
29;"D735,D737";"DO_214AC";2;"SMAJ24A";;;
30;"R30,R31";"R_0402";2;"510K";;;
31;"D730";"QFN1610";1;"ESDA25P35-1U1M";;;
32;"R34,R6,R41,R44,R43";"R_0402";5;"100K";;;
33;"C103,C102";"C_0402";2;"22pF";;;
34;"R45,R47";"R_0402";2;"10R";;;
35;"FB2,FB1";"L_0603";2;"220Ω 100MHz";;;
36;"D734,D736";"DO_214AC";2;"SMAJ40A";;;
37;"D732,D733";"SOT_323";2;"ESDA25W";;;
38;"C122";"C_0402";1;"1uF";;;
39;"T3,T1,T2";"TOUCH_PAD";3;"TOUCH_PAD";;;
40;"U7";"LQFP48";1;"STM32L151CCTx";;;
41;"R11,R1,R3";"R_0402";3;"51K";;;
42;"R40,R22,R42";"R_0402";3;"0R";;;
43;"L1";"EXL1V0603";1;"EXL1V0603-1R5";;;
44;"LOGO1";"QWIIC_CONNECT_SILK";1;"QWIIC_CONNECT_LOGO";;;
45;"U10";"QFN_24_4X4";1;"STUSB4500";;;
46;"U5";"TDFN_8";1;"MAX14595";;;
47;"P1";"USB_C";1;"USB_C_Plug";;;
48;"C141,C140";"C_0402";2;"1u5F";;;
49;"Y1";"CRYSTAL_3225";1;"8MHZ";;;
50;"R36";"R_0402";1;"100R";;;
51;"U4";"SOT-23-5";1;"MIC5205-3.3YM5";;;
52;"U9";"QFN20";1;"IQS7222B";;;
53;"J1";"SWD_2X5_1.27MM";1;"Conn_ST_STDC14";;;
54;"U6";"WSON_8_6X5";1;"W25Q32JVZP";;;
55;"U2";"DFN1010_6";1;"74LVC1G14FW4-7 ";;;
56;"U8";"MLP44_24L";1;"SIC437D";;;
57;"R4";"R_0402";1;"5K";;;
58;"CN5,CN7,CN9";"5052740612";3;"5052740612";;;
59;"CN4,CN8,CN6";"5054130610";3;"5054130610";;;
