Ref,Val,Package,PosX,PosY,Rot,Side
"C55","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-49.000000,-22.000000,180.000000,bottom
"C56","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-52.000000,-22.000000,180.000000,bottom
"C57","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-55.000000,-22.000000,180.000000,bottom
"C58","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-58.000000,-22.000000,180.000000,bottom
"C59","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-61.000000,-22.000000,180.000000,bottom
"C60","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-64.000000,-22.000000,180.000000,bottom
"C61","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-67.000000,-22.000000,180.000000,bottom
"C62","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-70.000000,-22.000000,180.000000,bottom
"C63","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-73.000000,-22.000000,180.000000,bottom
"C64","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-76.000000,-22.000000,180.000000,bottom
"C65","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-79.000000,-22.000000,180.000000,bottom
"C66","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-82.000000,-22.000000,180.000000,bottom
"C67","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-85.000000,-22.000000,180.000000,bottom
"C68","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-88.000000,-22.000000,180.000000,bottom
"C69","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-91.000000,-22.000000,180.000000,bottom
"C70","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-94.000000,-22.000000,180.000000,bottom
"C71","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-97.000000,-22.000000,180.000000,bottom
"C72","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-100.000000,-22.000000,180.000000,bottom
"C73","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-103.000000,-22.000000,180.000000,bottom
"C74","100n","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",-106.000000,-22.000000,180.000000,bottom
